#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-04-28 00:47:10
#Fields: date time cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes
2016-04-28 08:01:50 GET /grafikk/galleri_elsa_3n.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/index.php 304 164
2016-04-28 08:01:50 GET /grafikk/rute_sort.gif - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/index.php 304 164
2016-04-28 08:01:50 GET /bilder/bjertnas_1505_1_4.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/index.php 304 164
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-04-28 08:32:00
#Fields: date time cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes
2016-04-28 08:32:00 GET /arrangement/index.shtml - - 66.249.78.46 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405
2016-04-28 08:36:14 GET / - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 - 200 10826
2016-04-28 08:36:14 GET /csi.js - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 404 1405
2016-04-28 08:36:14 GET /style/style.css - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 304 164
2016-04-28 08:36:14 GET /grafikk/galleri_elsa_3n.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 304 164
2016-04-28 08:36:14 GET /grafikk/rute_sort.gif - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 304 164
2016-04-28 08:36:14 GET /bilder/bjertnas_1505_1_4.jpg - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 304 164
2016-04-28 08:36:30 GET /omgalleriet/index.shtml - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 404 1405
2016-04-28 08:36:35 GET /kunstnere/index.shtml - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 404 1405
2016-04-28 08:36:41 GET /utstilling/index.shtml - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 404 1405
2016-04-28 08:36:47 GET /arrangement/index.shtml - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 404 1405
2016-04-28 08:39:26 GET /csi.js - - 134.47.109.185 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/49.0.2623.110+Safari/537.36+OPR/36.0.2130.65 http://www.gallerielsa.no/ 404 1405
